Id,Name,Code,Latitude,Longitude,City,CountryName,CountryCode,TimezoneOffset
4558,Siirt Airport,SXZ,37.97890090942383,41.84040069580078,Siirt,Turkey,TR,0
30418,Sinop Airport,NOP,42.018313,35.071774,Sinop,Turkey,TR,0
4559,Kahramanmaraş Airport,KCM,37.5388259888,36.9535217285,Kahramanmaraş,Turkey,TR,0
4560,Ağrı Airport,AJI,39.655642,43.025742,Ağrı,Turkey,TR,0
4561,Adıyaman Airport,ADF,37.7314,38.468899,Adıyaman,Turkey,TR,0
4562,Mardin Airport,MQM,37.223300933800004,40.6316986084,Mardin,Turkey,TR,0
44491,Şanlıurfa GAP Airport,GNY,37.445663,38.895592,Şanlıurfa,Turkey,TR,0
44790,Iğdır Airport,IGD,39.976627,43.876648,Iğdır,Turkey,TR,0
44781,Bingöl Airport,BGG,38.860131,40.594489,Bingöl,Turkey,TR,0
316546,Şırnak Şerafettin Elçi Airport,NKT,37.3647,42.0582,Şırnak,Turkey,TR,0
317863,Hakkari Yüksekova Airport,YKO,37.5497,44.2381,Hakkari,Turkey,TR,0
44484,Hatay Airport,HTY,36.36079,36.285589,Antakya,Turkey,TR,0
324731,Çukurova International Airport,COV,36.891478,35.071235,Tarsus,Turkey,TR,0
313850,Leitre Airport,LTF,-2.8337,141.6257,Leitre,Papua New Guinea,PG,0
4564,Selçuk Efes Airport,IZM,37.950699,27.329,Selçuk,Turkey,TR,0
4565,Süleyman Demirel International Airport,ISE,37.8554,30.368401,Isparta,Turkey,TR,0
4566,Balıkesir Koca Seyit Airport,EDO,39.552533,27.010192,Edremit,Turkey,TR,0
4567,Milas Bodrum International Airport,BJV,37.249314,27.66401,Bodrum,Turkey,TR,0
44487,Gazipaşa-Alanya Airport,GZP,36.298832,32.297017,Gazipaşa,Turkey,TR,0
4568,Samsun-Çarşamba Airport,SZF,41.253988,36.567546,Samsun,Turkey,TR,0
4569,Istanbul Sabiha Gökçen International Airport,SAW,40.898602,29.3092,"Pendik, Istanbul",Turkey,TR,0
6408,Gökçeada Airport,GKD,40.204498,25.883302,Gökçeada,Turkey,TR,0
317457,İstanbul Airport,IST,41.274874,28.732136,Istanbul,Turkey,TR,0
